"species","tissueType","cellName","markerNames","markerEnsemblIDs","markerHgncIDs"
"human","Undefined","Neuroepithelial cell","E-cadherin HES1 HES3 Nestin Notch1 Occludin SOX2","ENSG00000114315 ENSG00000173673 ENSG00000181449","HGNC:5192 HGNC:26226 HGNC:11195"
"human","Undefined","Neuron","160 kDa neurofilament medium 200kDa heavy MAP2 NeuN PSD95 Synaptophysin Doublecortin BCL2 c-Fos c-Src CD100 CD106 CD112 CD133 CD15 CD166 CD172a CD172b CD200 CD231 CD24 CD271 CD304 CD325 CD47 CD56 CD6 CD90 CX3CL1 CX3CR1 CXCR7 Erythropoietin receptor G-CSF IL-11 MAP2ab Nestin Neurofilament protein (NF-H) (NF-M) PAX5 PKC TGF-beta CD143 CD171 CD230","ENSG00000078018 ENSG00000171791 ENSG00000187764 ENSG00000162692 ENSG00000130202 ENSG00000007062 ENSG00000196371 ENSG00000170017 ENSG00000198053 ENSG00000101307 ENSG00000091972 ENSG00000156298 ENSG00000272398 ENSG00000064300 ENSG00000099250 ENSG00000170558 ENSG00000196776 ENSG00000149294 ENSG00000013725 ENSG00000154096 ENSG00000006210 ENSG00000168329 ENSG00000196092 ENSG00000159640 ENSG00000198910 ENSG00000171867","HGNC:6839 HGNC:990 HGNC:10732 HGNC:12663 HGNC:9707 HGNC:9454 HGNC:4015 HGNC:400 HGNC:9662 HGNC:15928 HGNC:7203 HGNC:11854 HGNC:1645 HGNC:7809 HGNC:8004 HGNC:1759 HGNC:1682 HGNC:7656 HGNC:1691 HGNC:11801 HGNC:10647 HGNC:2558 HGNC:8619 HGNC:2707 HGNC:6470 HGNC:9449"
"human","Undefined","Neuronal progenitor cell","MAP2 PAX6 SOX2","ENSG00000078018 ENSG00000007372 ENSG00000181449","HGNC:6839 HGNC:8620 HGNC:11195"
"human","Undefined","Neutrophil","CD16b CD11b CD16 CD18 CD32 CD44 CD55 S100A8 S100A9 CD10 CD112 CD114 CD116 CD15 CD157 CD17 CD177 CD181 CD24 CD281 CD282 CD284 CD286 CD289 CD35 CD43 CD66a CD66b CD66c CD66d CD89 CD93","ENSG00000162747 ENSG00000169896 ENSG00000203747 ENSG00000160255 ENSG00000143226 ENSG00000072694 ENSG00000026508 ENSG00000196352 ENSG00000143546 ENSG00000163220 ENSG00000196549 ENSG00000130202 ENSG00000119535 ENSG00000198223 ENSG00000196371 ENSG00000109743 ENSG00000204936 ENSG00000163464 ENSG00000272398 ENSG00000174125 ENSG00000137462 ENSG00000136869 ENSG00000174130 ENSG00000239732 ENSG00000203710 ENSG00000197471 ENSG00000079385 ENSG00000124469 ENSG00000086548 ENSG00000170956 ENSG00000276858 ENSG00000273738 ENSG00000276985 ENSG00000275970 ENSG00000275269 ENSG00000275136 ENSG00000278415 ENSG00000274580 ENSG00000275564 ENSG00000283953 ENSG00000284061 ENSG00000284004 ENSG00000284245 ENSG00000283750 ENSG00000186431 ENSG00000125810","HGNC:3620 HGNC:6149 HGNC:3619 HGNC:6155 HGNC:3616 HGNC:3618 HGNC:1681 HGNC:2665 HGNC:10498 HGNC:10499 HGNC:7154 HGNC:9707 HGNC:2439 HGNC:2435 HGNC:4015 HGNC:1118 HGNC:30072 HGNC:6026 HGNC:1645 HGNC:11847 HGNC:11848 HGNC:11850 HGNC:16711 HGNC:15633 HGNC:2334 HGNC:11249 HGNC:1814 HGNC:1820 HGNC:1818 HGNC:1815 HGNC:3608 HGNC:15855"
"human","Undefined","Oligodendrocyte","MBP MOG Olig 1 2 3 OSP SOX10","ENSG00000197971 ENSG00000234096 ENSG00000230885 ENSG00000234623 ENSG00000137345 ENSG00000237834 ENSG00000236561 ENSG00000232641 ENSG00000204655 ENSG00000100146","HGNC:6925 HGNC:7197 HGNC:11190"
"human","Undefined","Oligodendrocyte progenitor cell","A2B5","",""
"human","Undefined","Pancreatic endoderm cell","CD142 FOXA2 NeuroD1 NKX6.1 PAX6 PDX1 SOX17","ENSG00000117525 ENSG00000125798 ENSG00000007372 ENSG00000139515 ENSG00000164736","HGNC:3541 HGNC:5022 HGNC:8620 HGNC:6107 HGNC:18122"
"human","Undefined","Paneth cell","AMACR","ENSG00000242110","HGNC:451"
"human","Undefined","Pericyte","Calponin CD90 DLK NG2 PDGF-A SMA alpha-SMA CD10 CD105 CD13 CD140 CD146 CD166 CD29 CD44 CD73 STRO-1","ENSG00000154096 ENSG00000196549 ENSG00000106991 ENSG00000166825 ENSG00000076706 ENSG00000170017 ENSG00000150093 ENSG00000026508 ENSG00000135318","HGNC:11801 HGNC:7154 HGNC:3349 HGNC:500 HGNC:6934 HGNC:400 HGNC:6153 HGNC:1681 HGNC:8021"
"human","Undefined","Plasma cell","CD138 BLIMP1 CD184 CD19 CD20 CD252 CD269 CD27 CD31 CD38 CD81 CD9 IRF4 XBP1","ENSG00000115884 ENSG00000121966 ENSG00000177455 ENSG00000156738 ENSG00000117586 ENSG00000048462 ENSG00000139193 ENSG00000261371 ENSG00000004468 ENSG00000110651 ENSG00000010278 ENSG00000137265 ENSG00000100219","HGNC:10658 HGNC:2561 HGNC:1633 HGNC:7315 HGNC:11934 HGNC:11913 HGNC:11922 HGNC:8823 HGNC:1667 HGNC:1701 HGNC:1709 HGNC:6119 HGNC:12801"
"human","Undefined","Plasmacytoid dendritic cell","CD123 CD283 CD287 CD289 CD303 CD304 CD370 CD85g E2-2 IRF8","ENSG00000185291 ENSG00000164342 ENSG00000239732 ENSG00000198178 ENSG00000099250 ENSG00000197992 ENSG00000276798 ENSG00000274185 ENSG00000277092 ENSG00000239961 ENSG00000140968","HGNC:6012 HGNC:11849 HGNC:15633 HGNC:13258 HGNC:8004 HGNC:26705 HGNC:15503 HGNC:5358"
"human","Undefined","Platelet","CD41 CD42a CD42b CD61 CD107a CD107b CD110 CD147 CD151 CD173 CD226 CD23 CD31 CD36 CD42c CD42d CD49f CD51 CD60a CD84 CD9 CD92 GARP LAP","ENSG00000005961 ENSG00000169704 ENSG00000185245 ENSG00000259207 ENSG00000185896 ENSG00000005893 ENSG00000117400 ENSG00000172270 ENSG00000177697 ENSG00000150637 ENSG00000104921 ENSG00000261371 ENSG00000135218 ENSG00000203618 ENSG00000178732 ENSG00000091409 ENSG00000138448 ENSG00000066294 ENSG00000010278 ENSG00000070214","HGNC:6138 HGNC:4444 HGNC:4439 HGNC:6156 HGNC:6499 HGNC:6501 HGNC:7217 HGNC:1116 HGNC:1630 HGNC:16961 HGNC:3612 HGNC:8823 HGNC:1663 HGNC:4440 HGNC:4443 HGNC:6142 HGNC:6150 HGNC:1704 HGNC:1709 HGNC:18798"
"human","Undefined","Pluripotent stem cell","CDH11 EFNA2 GPC3 PRSS50 CD112 CD31 CD326 CD49f CD9 GCTM-2 SSEA-4 TRA-1-81 KLF4 LIN28 NANOG OCT4 SOX2","ENSG00000140937 ENSG00000099617 ENSG00000147257 ENSG00000283706 ENSG00000130202 ENSG00000261371 ENSG00000119888 ENSG00000091409 ENSG00000010278 ENSG00000136826 ENSG00000111704 ENSG00000181449","HGNC:1750 HGNC:3222 HGNC:4451 HGNC:17910 HGNC:9707 HGNC:8823 HGNC:11529 HGNC:6142 HGNC:1709 HGNC:6348 HGNC:20857 HGNC:11195"
"human","Undefined","Primordial germ cell","CyclinA2 GLUT3 EpCAM Integrin alpha-6 BLIMP1 PRDM1 CD15 IFITM1 IFITM2 IFITM3 NANOS2 OCT1 OCT3/4 OCT4A OCT4B PRDM14 PUM2 SMAD1 SMAD4 SMAD5 SOX2 SSEA-1 DPPA3 VASA","ENSG00000057657 ENSG00000196371 ENSG00000185885 ENSG00000185201 ENSG00000142089 ENSG00000188425 ENSG00000147596 ENSG00000055917 ENSG00000170365 ENSG00000141646 ENSG00000113658 ENSG00000181449 ENSG00000187569","HGNC:9346 HGNC:4015 HGNC:5412 HGNC:5413 HGNC:5414 HGNC:23292 HGNC:14001 HGNC:14958 HGNC:6767 HGNC:6770 HGNC:6771 HGNC:11195 HGNC:19199"
"human","Undefined","Progenitor cell","ALCAM Nucleostemin ESA PROCR","ENSG00000170017 ENSG00000119888 ENSG00000101000","HGNC:400 HGNC:11529 HGNC:9452"
"human","Undefined","Purkinje cell","IP3R Calbindin Calmodulin-dependent phosphodiesterase CAR8 Cerebellin cGMP-dependent protein kinase clusterin GABAT GAD67 Glial fibrillary acidic HDAC6 HFB-16 MAP-120 Myelin basic zero NMDA-NR1 Olfactory marker PCA1 PCA2 PCPP260 PDE1B PDE5 PDE9A PEP19 PMCA PMCA2 S100A1 SERCA Spot 35 Zebrin II","ENSG00000094631 ENSG00000123360 ENSG00000160191 ENSG00000160678","HGNC:14064 HGNC:8775 HGNC:8795 HGNC:10486"
"human","Undefined","Pyramidal cell","CaMK2 alpha EMX1 MAP2 MATH-2 mGluR1 mGluR5 Neurogranin PSD95 R-PTP-gamma SCIP CD3E TBR1 FEZF2","ENSG00000135638 ENSG00000078018 ENSG00000198851 ENSG00000136535 ENSG00000153266","HGNC:3340 HGNC:6839 HGNC:1674 HGNC:11590 HGNC:13506"
"human","Undefined","Radial glial cell","BLBP GFAP GLAST HES1 HES5 N-cadherin Nestin PAX6 SOX2 TNC Vimentin","ENSG00000131095 ENSG00000114315 ENSG00000273529 ENSG00000197921 ENSG00000007372 ENSG00000181449 ENSG00000041982","HGNC:4235 HGNC:5192 HGNC:19764 HGNC:8620 HGNC:11195 HGNC:5318"
"human","Undefined","Red blood cell (erythrocyte)","CD235a CD45 CD51 CD61","ENSG00000170180 ENSG00000262418 ENSG00000081237 ENSG00000138448 ENSG00000259207","HGNC:4702 HGNC:9666 HGNC:6150 HGNC:6156"
"human","Undefined","Regulatory B cell","CD19 CD24 CD27 CD38","ENSG00000177455 ENSG00000272398 ENSG00000139193 ENSG00000004468","HGNC:1633 HGNC:1645 HGNC:11922 HGNC:1667"
"human","Undefined","Regulatory T (Treg) cell","CD49b LAG3 ADA CD26 LAG-3 CD25 CD4 FOXP3 IL-10 IL-12 SMAD3 STAT5 TGF-beta CD103 CD134 CD152 CD194 CD223 CD39 CD62L CD73 FR4 GARP GITR HELIOS c-Rel CD101 CD121a CD121b CD137 CD357 CTLA4 EOS LAP TIGIT","ENSG00000089692 ENSG00000196839 ENSG00000197635 ENSG00000134460 ENSG00000010610 ENSG00000049768 ENSG00000166949 ENSG00000083457 ENSG00000186827 ENSG00000163599 ENSG00000183813 ENSG00000138185 ENSG00000188404 ENSG00000135318 ENSG00000186891 ENSG00000134256 ENSG00000115590 ENSG00000049249 ENSG00000181847","HGNC:6476 HGNC:186 HGNC:3009 HGNC:6008 HGNC:1678 HGNC:6106 HGNC:6769 HGNC:6147 HGNC:11918 HGNC:2505 HGNC:1605 HGNC:3363 HGNC:10720 HGNC:8021 HGNC:11914 HGNC:5949 HGNC:5994 HGNC:11924 HGNC:26838"
"human","Undefined","Retinal ganglion cell","Brn-3B Hu-1 NGF NSCL2 PKC-alpha","ENSG00000134259","HGNC:7808"
"human","Undefined","Schwann cell","Glial fibrillary acidic protein Myelin basic myelin zero S100A1 GAP43 MPZ NCAM S100","ENSG00000160678 ENSG00000172020 ENSG00000158887 ENSG00000149294","HGNC:10486 HGNC:4140 HGNC:7225 HGNC:7656"
"human","Undefined","Serotonergic neuron","PET1 Serotonin transporter Tryptophan hydroxylase","",""
"human","Undefined","Sertoli cell","anti-Mullerian hormone Inhibin beta B Androgen-binding protein Calretinin Clusterin Cyclic potein-2 Cytokeratin-18 Desert hedgehog GATA1 GATA4 M2A mMullerian inhibiting substance Serotonin receptor 1A SOX9 Stem cell factor Vimentin","ENSG00000102145 ENSG00000285109 ENSG00000136574 ENSG00000125398","HGNC:4170 HGNC:4173 HGNC:11204"
"human","Undefined","Side-population cell","CD44 CD24 CD49f","ENSG00000026508 ENSG00000272398 ENSG00000091409","HGNC:1681 HGNC:1645 HGNC:6142"
"human","Undefined","Smooth muscle cell","alpha-smooth muscle actin Desmin","",""
"human","Undefined","Specialist antigen presenting cell","CD10 CD103 CD106 CD115 CD117 CD11b CD11c CD123 CD127 CD141 CD169 CD183 CD192 CD196 CD198 CD1a CD1c CD1d CD205 CD206 CD207 CD209 CD21 CD23 CD282 CD289 CD303 CD304 CD319 CD324 CD33 CD34 CD38 CD39 CD40 CD45RA CD48 CD49d CD5 CD68 CD73 CD80 CD81 CD83 CD85g CD86 CXCR3 Dectin-1 Flt3 MHC class II TLR7","ENSG00000196549 ENSG00000083457 ENSG00000162692 ENSG00000182578 ENSG00000157404 ENSG00000169896 ENSG00000140678 ENSG00000185291 ENSG00000168685 ENSG00000178726 ENSG00000088827 ENSG00000186810 ENSG00000121807 ENSG00000112486 ENSG00000054219 ENSG00000260314 ENSG00000116031 ENSG00000090659 ENSG00000117322 ENSG00000104921 ENSG00000137462 ENSG00000239732 ENSG00000198178 ENSG00000099250 ENSG00000026751 ENSG00000039068 ENSG00000105383 ENSG00000174059 ENSG00000004468 ENSG00000138185 ENSG00000101017 ENSG00000117091 ENSG00000115232 ENSG00000110448 ENSG00000129226 ENSG00000135318 ENSG00000121594 ENSG00000110651 ENSG00000112149 ENSG00000276798 ENSG00000274185 ENSG00000277092 ENSG00000239961 ENSG00000114013 ENSG00000196664","HGNC:7154 HGNC:6147 HGNC:12663 HGNC:2433 HGNC:6342 HGNC:6149 HGNC:6152 HGNC:6012 HGNC:6024 HGNC:11784 HGNC:11127 HGNC:4540 HGNC:1603 HGNC:1607 HGNC:6729 HGNC:7228 HGNC:17935 HGNC:1641 HGNC:2336 HGNC:3612 HGNC:11848 HGNC:15633 HGNC:13258 HGNC:8004 HGNC:21394 HGNC:1748 HGNC:1659 HGNC:1662 HGNC:1667 HGNC:3363 HGNC:11919 HGNC:1683 HGNC:6140 HGNC:1685 HGNC:1693 HGNC:8021 HGNC:1700 HGNC:1701 HGNC:1703 HGNC:15503 HGNC:1705 HGNC:15631"
"human","Undefined","Stem cell","CD20 CD271 DNMT3B GDF3 NANOG OCT4 ALDH1 CD26 CD44 LGR5 CD117 CD164 CD34","ENSG00000156738 ENSG00000064300 ENSG00000088305 ENSG00000184344 ENSG00000111704 ENSG00000197635 ENSG00000026508 ENSG00000139292 ENSG00000157404 ENSG00000135535 ENSG00000174059","HGNC:7315 HGNC:7809 HGNC:2979 HGNC:4218 HGNC:20857 HGNC:3009 HGNC:1681 HGNC:4504 HGNC:6342 HGNC:1632 HGNC:1662"
"human","Undefined","Stromal cell","CD117 CD133 CD10 CD102 CD106 CD140a CD140b CD29 CD31 CD49d CD50 CD51 CD61 CD54 CD90 LT-betaR MADCAM1 MMP1 MMP2 MMP9 GD2 Podoplanin TIMP1 TIMP2 TLR1 TLR2 TLR3 TLR4 CD157 CD34 Stro-1","ENSG00000157404 ENSG00000007062 ENSG00000196549 ENSG00000108622 ENSG00000162692 ENSG00000134853 ENSG00000113721 ENSG00000150093 ENSG00000261371 ENSG00000115232 ENSG00000076662 ENSG00000138448 ENSG00000259207 ENSG00000090339 ENSG00000154096 ENSG00000099866 ENSG00000196611 ENSG00000087245 ENSG00000100985 ENSG00000102265 ENSG00000035862 ENSG00000174125 ENSG00000137462 ENSG00000164342 ENSG00000136869 ENSG00000109743 ENSG00000174059","HGNC:6342 HGNC:9454 HGNC:7154 HGNC:5345 HGNC:12663 HGNC:8803 HGNC:8804 HGNC:6153 HGNC:8823 HGNC:6140 HGNC:5346 HGNC:6150 HGNC:6156 HGNC:5344 HGNC:11801 HGNC:6765 HGNC:7155 HGNC:7166 HGNC:7176 HGNC:11820 HGNC:11821 HGNC:11847 HGNC:11848 HGNC:11849 HGNC:11850 HGNC:1118 HGNC:1662"
"human","Undefined","Stromal stem cell","STRO-1","",""
"human","Undefined","T cell","CD150 CD25 CD69 CD8 Dipeptidyl peptidase 4 CD3 CD20 CD2 CD7 CD1 CD4 CD5 CD43 CD45RO Terminal deoxynucleotidyltransferase MT1 UCHL CCR10 CD10 CD103 CD11b CD11c CD122 CD126 CD127 CD13 CD130 CD140a CD140b CD152 CD159a CD16 CD160 CD161 CD165 CD178 CD183 CD185 CD192 CD193 CD194 CD195 CD196 CD198 CD1a CD1c CD1d CD200 CD200R CD212 CD217 CD218a CD229 CD23 CD244 CD27 CD278 CD279 CD294 CD304 CD31 CD314 CD34 CD38 CD39 CD45 CD45RA CD48 CD49d CD56 CD62 CD62L CD68 CD73 CD79a CD80 CD81 CD83 CD84 CD86 CD9 CD94 CXCR3 Flt3 Granzyme A B IL-13alpha1 IL-21R IL-9 KLRG1 MHC class II RAG ROR gamma T ST2 TCR alpha/beta gamma/delta ZAP70 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000117090 ENSG00000134460 ENSG00000110848 ENSG00000153563 ENSG00000156738 ENSG00000116824 ENSG00000173762 ENSG00000158477 ENSG00000158485 ENSG00000158481 ENSG00000010610 ENSG00000110448 ENSG00000197471 ENSG00000184451 ENSG00000196549 ENSG00000083457 ENSG00000169896 ENSG00000140678 ENSG00000100385 ENSG00000160712 ENSG00000168685 ENSG00000166825 ENSG00000134352 ENSG00000134853 ENSG00000113721 ENSG00000163599 ENSG00000134545 ENSG00000203747 ENSG00000162747 ENSG00000117281 ENSG00000111796 ENSG00000117560 ENSG00000186810 ENSG00000160683 ENSG00000121807 ENSG00000183625 ENSG00000183813 ENSG00000160791 ENSG00000112486 ENSG00000091972 ENSG00000096996 ENSG00000177663 ENSG00000115604 ENSG00000122224 ENSG00000104921 ENSG00000122223 ENSG00000139193 ENSG00000163600 ENSG00000276977 ENSG00000188389 ENSG00000183134 ENSG00000099250 ENSG00000261371 ENSG00000213809 ENSG00000174059 ENSG00000004468 ENSG00000138185 ENSG00000262418 ENSG00000081237 ENSG00000117091 ENSG00000115232 ENSG00000149294 ENSG00000174175 ENSG00000188404 ENSG00000129226 ENSG00000135318 ENSG00000121594 ENSG00000110651 ENSG00000112149 ENSG00000066294 ENSG00000114013 ENSG00000010278 ENSG00000134539 ENSG00000139187 ENSG00000115085 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:10903 HGNC:6008 HGNC:1694 HGNC:1706 HGNC:7315 HGNC:1639 HGNC:1695 HGNC:1634 HGNC:1635 HGNC:1636 HGNC:1678 HGNC:1685 HGNC:11249 HGNC:4474 HGNC:7154 HGNC:6147 HGNC:6149 HGNC:6152 HGNC:6009 HGNC:6019 HGNC:6024 HGNC:500 HGNC:6021 HGNC:8803 HGNC:8804 HGNC:2505 HGNC:6374 HGNC:3619 HGNC:3620 HGNC:17013 HGNC:6373 HGNC:11936 HGNC:4540 HGNC:1060 HGNC:1603 HGNC:1604 HGNC:1605 HGNC:1606 HGNC:1607 HGNC:7203 HGNC:5971 HGNC:5985 HGNC:5988 HGNC:6730 HGNC:3612 HGNC:18171 HGNC:11922 HGNC:5351 HGNC:8760 HGNC:4502 HGNC:8004 HGNC:8823 HGNC:18788 HGNC:1662 HGNC:1667 HGNC:3363 HGNC:9666 HGNC:1683 HGNC:6140 HGNC:7656 HGNC:10721 HGNC:10720 HGNC:1693 HGNC:8021 HGNC:1700 HGNC:1701 HGNC:1703 HGNC:1704 HGNC:1705 HGNC:1709 HGNC:6378 HGNC:6380 HGNC:12858 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Undefined","T helper cell","CCR10 CD10 CD103 CD126 CD127 CD140a CD140b CD161 CD165 CD178 CD183 CD185 CD193 CD194 CD195 CD196 CD198 CD1a CD200 CD212 CD218a CD25 CD279 CD294 CD3 CD34 CD38 CD39 CD4 CD45RA CD45RO CD5 CD62 CD62L CD7 CD73 Flt3 IL-13alpha1 IL-21R IL-9 TCR alpha/beta CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000184451 ENSG00000196549 ENSG00000083457 ENSG00000160712 ENSG00000168685 ENSG00000134853 ENSG00000113721 ENSG00000111796 ENSG00000117560 ENSG00000186810 ENSG00000160683 ENSG00000183625 ENSG00000183813 ENSG00000160791 ENSG00000112486 ENSG00000091972 ENSG00000096996 ENSG00000115604 ENSG00000134460 ENSG00000276977 ENSG00000188389 ENSG00000183134 ENSG00000174059 ENSG00000004468 ENSG00000138185 ENSG00000010610 ENSG00000110448 ENSG00000174175 ENSG00000188404 ENSG00000173762 ENSG00000135318 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:4474 HGNC:7154 HGNC:6147 HGNC:6019 HGNC:6024 HGNC:8803 HGNC:8804 HGNC:6373 HGNC:11936 HGNC:4540 HGNC:1060 HGNC:1604 HGNC:1605 HGNC:1606 HGNC:1607 HGNC:7203 HGNC:5971 HGNC:5988 HGNC:6008 HGNC:8760 HGNC:4502 HGNC:1662 HGNC:1667 HGNC:3363 HGNC:1678 HGNC:1685 HGNC:10721 HGNC:10720 HGNC:1695 HGNC:8021 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Undefined","T helper1 (Th1) cell","CCR1 CCR5 CD119 CD183 CD195 CD26 CD4 CD94 CXCR3 IFN-gamma IL-18R LT-betaR Tbet TIM-3 TNF-alpha TNF-beta IL-12 IL-18 IL-2 IL-27 LT-alpha Stat1 Stat6 T-bet TNF CD191 CD254 CD366 GM-CSF CD186 CD212 CD218a STAT1 STAT4","ENSG00000163823 ENSG00000160791 ENSG00000027697 ENSG00000186810 ENSG00000197635 ENSG00000010610 ENSG00000134539 ENSG00000228978 ENSG00000204490 ENSG00000223952 ENSG00000228849 ENSG00000228321 ENSG00000230108 ENSG00000206439 ENSG00000232810 ENSG00000120659 ENSG00000172215 ENSG00000096996 ENSG00000115604 ENSG00000115415 ENSG00000138378","HGNC:1602 HGNC:1606 HGNC:5439 HGNC:4540 HGNC:3009 HGNC:1678 HGNC:6378 HGNC:11892 HGNC:11926 HGNC:16647 HGNC:5971 HGNC:5988 HGNC:11362 HGNC:11365"
"human","Undefined","T helper17 (Th17) cell","CD161 CCL20 CCR6 CD4 IL-1 IL-17A IL-17F IL-21 IL-22 IL-23 IL-26 IL-6 ROR-alpha ROR gamma T STAT3 TGF-beta TNF CD194 CD196 CD3 CD38 IL-1R AHR BATF c-Maf CD121a CD212 CD360 IL-23R IRF4 NFKBIZ CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000111796 ENSG00000115009 ENSG00000112486 ENSG00000010610 ENSG00000168610 ENSG00000228978 ENSG00000204490 ENSG00000223952 ENSG00000228849 ENSG00000228321 ENSG00000230108 ENSG00000206439 ENSG00000232810 ENSG00000183813 ENSG00000004468 ENSG00000106546 ENSG00000156127 ENSG00000096996 ENSG00000103522 ENSG00000137265 ENSG00000144802 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:6373 HGNC:10619 HGNC:1607 HGNC:1678 HGNC:11364 HGNC:11892 HGNC:1605 HGNC:1667 HGNC:348 HGNC:958 HGNC:5971 HGNC:6006 HGNC:6119 HGNC:29805 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Undefined","T helper2 (Th2) cell","CCR8 CD184 CD193 CD194 CD197 CD278 CD4 GATA3 TNF-RI IL-10 IL-13 IL-1R IL-4 IL-5 IL-9 CCR4 Crth2 IL-2 IL-33 IL-6 STAT5 STAT6 c-Maf CD294 CD365 GM-CSF BATF CD198 IL-25R IL-33R IRF4","ENSG00000179934 ENSG00000121966 ENSG00000183625 ENSG00000183813 ENSG00000126353 ENSG00000163600 ENSG00000010610 ENSG00000107485 ENSG00000166888 ENSG00000183134 ENSG00000113249 ENSG00000156127 ENSG00000137265","HGNC:1609 HGNC:2561 HGNC:1604 HGNC:1605 HGNC:1608 HGNC:5351 HGNC:1678 HGNC:4172 HGNC:11368 HGNC:4502 HGNC:17866 HGNC:958 HGNC:6119"
"human","Undefined","T helper9 (Th9) cell","CD4 GATA3 IL-10 IL-4 IL-9 STAT6 TGF-beta CD3 IRF4 TCR alpha/beta CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000010610 ENSG00000107485 ENSG00000166888 ENSG00000137265 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:1678 HGNC:4172 HGNC:11368 HGNC:6119 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Undefined","Thymocyte","CD150","ENSG00000117090","HGNC:10903"
"human","Undefined","Trophoblast stem cell","GATA3 HAND1 TROP2","ENSG00000107485 ENSG00000113196","HGNC:4172 HGNC:4807"
"human","Undefined","Tumor-propagating cell","CD146","ENSG00000076706","HGNC:6934"
"human","Undefined","Type I pneumocyte","AQP5 E-cadherin ZO-1","ENSG00000161798","HGNC:638"
"human","Undefined","Type II pneumocyte","Alkaline phosphatase MUC1","ENSG00000185499","HGNC:7508"
"human","Undefined","Unrestricted somatic stem cell","CD105 CD166 CD34 CD44 CD73 CD90","ENSG00000106991 ENSG00000170017 ENSG00000174059 ENSG00000026508 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:400 HGNC:1662 HGNC:1681 HGNC:8021 HGNC:11801"
"human","Undefined","Urothelium cell","Pancytokeratin Uroplakin III","",""
"human","Urine","Urine-derived stem cell","CD105 CD146 CD34 CD45 CD73 CD90 OCT3/4 STRO-1 CD117 CD133 CD14 CD24 CD29 CD31 CD44 SSEA-4","ENSG00000106991 ENSG00000076706 ENSG00000174059 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096 ENSG00000157404 ENSG00000007062 ENSG00000170458 ENSG00000272398 ENSG00000150093 ENSG00000261371 ENSG00000026508","HGNC:3349 HGNC:6934 HGNC:1662 HGNC:9666 HGNC:8021 HGNC:11801 HGNC:6342 HGNC:9454 HGNC:1628 HGNC:1645 HGNC:6153 HGNC:8823 HGNC:1681"
"human","Uterus","Cancer stem cell","CD34 CD49b","ENSG00000174059","HGNC:1662"
"human","Uterus","Endometrial stem cell","ICAM1 SUSD2","ENSG00000090339 ENSG00000099994","HGNC:5344 HGNC:30667"
"human","Uterus","Epithelial cell","FOLR1","ENSG00000110195","HGNC:3791"
"human","Uterus","Natural killer cell","CD16 CD3 CD56 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000203747 ENSG00000162747 ENSG00000149294 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:3619 HGNC:3620 HGNC:7656 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Vagina","Neutrophil","CD15 CD16 CD24","ENSG00000196371 ENSG00000203747 ENSG00000162747 ENSG00000272398","HGNC:4015 HGNC:3619 HGNC:3620 HGNC:1645"
"human","Vagina","Vaginal cell","Loricrin Stratifin","",""
"human","Venous blood","Atypical memory B cell","CD10 CD19 CD20 CD21 CD27","ENSG00000196549 ENSG00000177455 ENSG00000156738 ENSG00000117322 ENSG00000139193","HGNC:7154 HGNC:1633 HGNC:7315 HGNC:2336 HGNC:11922"
"human","Venous blood","Cancer stem cell","CD133 ESA","ENSG00000007062 ENSG00000119888","HGNC:9454 HGNC:11529"
"human","Visceral adipose tissue","Adipose-derived stem cell","CD142 CD200","ENSG00000117525 ENSG00000091972","HGNC:3541 HGNC:7203"
"human","Visceral adipose tissue","Adipose-derived stromal cell","CD142 CD200","ENSG00000117525 ENSG00000091972","HGNC:3541 HGNC:7203"
"human","Visceral adipose tissue","Macrophage","CD68","ENSG00000129226","HGNC:1693"
"human","Vocal fold","Fibroblast","CD105 CD14 CD29 CD31 CD34 CD44 CD45 CD73 CD90","ENSG00000106991 ENSG00000170458 ENSG00000150093 ENSG00000261371 ENSG00000174059 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:1628 HGNC:6153 HGNC:8823 HGNC:1662 HGNC:1681 HGNC:9666 HGNC:8021 HGNC:11801"
"human","Whartons jelly","Mesenchymal stem cell","CD105","ENSG00000106991","HGNC:3349"
